"ID"	"logFC"	"P.Value"
"A_55_P2051983"	"0.195847974"	"0.1656127687"
"A_52_P169082"	"0.1409378986"	"0.2453207256"
"A_30_P01028193"	"0.1999834097"	"0.1358520967"
"A_51_P414243"	"0.6039946404"	"1.81962948039424E-010"
"A_55_P2136348"	"0.435083342"	"0.7964821601"
"A_30_P01033363"	"0.1797669507"	"0.0519268711"
"A_55_P2049737"	"0.2334881816"	"0.0276532775"
"A_30_P01024440"	"0.1257845282"	"0.0127767141"
"A_30_P01025554"	"0.126071672"	"0.0001669753"
"A_30_P01031558"	"0.1466414329"	"0.1589879251"
"A_51_P328014"	"0.3270089406"	"2.39343661515806E-008"
"A_30_P01019108"	"0.2149538722"	"0.2820045673"
"A_55_P2056220"	"0.0610467259"	"0.1630674169"
"A_55_P1985764"	"0.078409817"	"0.0060556279"
"A_52_P108321"	"0.1097208056"	"0.007483232"
"A_55_P2018002"	"0.1660150452"	"0.0023226159"
"A_52_P123354"	"0.0888621308"	"3.29111907186752E-006"
"A_30_P01023685"	"0.2228237887"	"0.0674062455"
"A_55_P2061724"	"0.1195953978"	"0.011506563"
"A_55_P2049122"	"0.1975661721"	"0.2787423577"
"A_30_P01020389"	"0.2348556644"	"0.0174635944"
"A_55_P1988844"	"0.2356695767"	"0.0407661467"
"A_51_P385099"	"2.6909243336"	"2.22728495637657E-014"
"A_55_P2111005"	"0.1668922916"	"1.13586767559963E-008"
"A_30_P01029364"	"0.218467865"	"0.1305256921"
"A_55_P2041509"	"0.0895487258"	"0.0019230089"
"A_55_P1985294"	"0.1685856611"	"0.0363822411"
"A_55_P2242690"	"0.2367947251"	"0.0077054601"
"A_30_P01029765"	"0.0672158585"	"0.3947039968"
"A_55_P2364211"	"0.2078706417"	"0.0129707861"
"A_51_P358243"	"0.320630105"	"1.57883983305252E-010"
"A_55_P2252586"	"0.164841524"	"0.4021105971"
"A_30_P01020720"	"0.0825981311"	"0.0004300019"
"A_55_P2153545"	"0.2209522998"	"0.2432901196"
"A_55_P1999972"	"0.1560130603"	"0.0640660522"
"A_55_P2036031"	"0.2110304679"	"0.0391885646"
"A_55_P2073699"	"0.1729297558"	"2.46404080969403E-008"
"A_51_P452153"	"0.1314182892"	"0.0543592652"
"A_52_P289213"	"0.1461088363"	"0.0076053903"
"A_30_P01028667"	"0.2765120996"	"0.4888118436"
"A_30_P01026843"	"0.8339497609"	"0.5854055701"
"A_52_P117601"	"0.248360537"	"0.1682327424"
"A_55_P2087013"	"0.1554322489"	"0.0162875067"
"A_30_P01021140"	"0.1724555635"	"0.0237517486"
"A_55_P2086143"	"0.8585506082"	"7.34501793435618E-012"
